6.480	4.678	11.036	6.229
14.060	8.128	5.763	4.036
12.624	7.162	6.009	4.278
4.023	3.790	13.011	6.547
6.823	4.937	10.647	6.036
9.751	5.809	8.294	5.431
6.288	5.046	11.510	6.009
9.360	6.216	8.826	5.261
12.514	7.106	6.229	4.474
9.542	6.390	8.455	4.954
4.363	3.999	12.542	6.392
15.025	7.876	5.057	4.064
14.947	8.592	5.102	3.605
11.910	6.871	6.676	4.642
0.805	0.800	15.647	7.287
4.193	3.956	12.523	6.336
15.363	7.745	3.360	3.158
7.297	5.186	10.402	5.926
15.483	8.905	5.016	3.544
6.339	4.582	10.935	6.206
5.987	4.876	11.639	6.088
6.403	5.383	10.761	5.548
4.000	3.771	12.887	6.518
10.460	6.892	8.207	4.888
23.258	10.904	0.562	0.559
6.522	5.350	11.195	5.857
13.738	7.058	5.326	4.308
9.061	6.034	8.365	4.979
18.024	9.211	2.786	2.690
3.822	3.606	13.122	6.639
10.901	6.366	7.872	5.179
9.526	6.329	8.640	5.057
8.220	5.911	10.140	5.746
12.384	7.070	6.211	4.434
3.806	3.686	12.370	6.298
6.706	5.327	10.907	5.549
7.605	6.126	10.156	5.297
19.309	8.995	1.248	1.215
7.105	4.984	10.665	6.157
11.753	7.030	7.311	4.759
12.430	7.059	6.074	4.360
15.798	8.116	5.250	4.198
19.262	9.079	2.803	2.579
3.822	3.594	13.884	7.057
10.817	6.466	7.446	4.847
13.944	7.282	5.551	4.401
4.492	4.236	12.320	6.296
8.140	5.816	9.957	5.672
14.367	8.159	5.512	3.921
13.374	7.697	5.691	4.002
10.025	6.640	8.391	5.012
18.453	8.678	2.941	2.706
17.899	9.153	3.320	3.041
6.346	5.100	11.168	5.827
7.291	5.270	10.281	5.804
7.196	5.910	10.210	5.341
9.662	6.427	8.503	4.975
13.517	7.759	5.752	4.043
14.074	7.209	5.500	4.409
18.416	9.425	2.740	2.650
11.093	7.313	7.816	4.662
5.865	4.880	11.996	6.299
4.611	4.244	12.792	6.555
7.645	5.447	10.052	5.700
4.592	4.212	12.315	6.277
0.364	0.364	16.126	7.534
6.446	4.550	10.908	6.220
10.374	6.847	8.196	4.876
19.456	10.009	2.793	2.632
17.576	9.107	4.297	3.558
13.937	8.004	5.407	3.801
10.402	6.924	8.051	4.798
16.401	8.319	3.210	3.022
6.761	5.386	10.750	5.596
12.648	7.260	6.238	4.357
0.793	0.790	16.145	7.519
12.869	7.351	5.882	4.225
2.765	2.773	13.597	6.440
18.250	9.305	2.867	2.683
4.000	3.769	13.233	6.768
0.430	0.430	15.043	7.022
3.038	2.878	14.184	6.691
7.740	6.238	9.994	5.209
7.061	5.040	10.333	5.885
9.506	5.675	8.700	5.672
13.796	7.219	5.307	4.268
11.002	6.431	7.723	5.077
4.684	4.211	12.812	6.480
8.006	5.596	9.895	5.670
6.593	5.414	11.496	6.022
7.736	5.558	9.964	5.649
9.570	6.388	8.679	5.176
16.555	8.489	3.649	3.278
13.533	7.719	5.798	4.165
4.567	4.190	12.329	6.283
9.911	6.539	8.383	4.991
4.630	4.259	12.505	6.411
6.093	5.001	11.492	6.018
7.742	5.569	10.124	5.771
10.355	6.751	8.156	4.850
11.307	6.764	7.674	5.048
7.349	5.831	10.470	5.444
7.016	4.947	10.109	5.761
12.706	7.329	6.321	4.400
13.405	6.996	5.695	4.515
9.013	5.988	8.989	5.361
6.633	4.790	11.007	6.215
9.691	6.472	8.610	5.036
2.849	2.798	14.547	6.877
9.621	6.427	8.592	5.024
3.784	3.663	12.853	6.516
7.682	6.095	9.934	5.166
4.635	4.368	11.948	6.102
3.764	3.545	13.389	6.773
13.203	6.890	5.460	4.346
6.955	5.724	10.605	5.439
10.280	6.846	8.058	4.710
